title,category,price_gbp,price_inr,rating,in_stock
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.9,1149.95,2,True
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,33.95,3581.7250000000004,4,True
Roller Girl,Sequential Art,14.1,1487.55,5,True
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,19.57,2064.635,1,True
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,20.96,2211.28,4,True
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39,3839.145,3,True
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,16.33,1722.8149999999998,1,True
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,52.41,5529.254999999999,1,True
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,27.88,2941.3399999999997,2,True
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,50.44,5321.42,4,True
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,14.41,1520.255,3,True
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,55.55,5860.525,5,True
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,21.57,2275.635,5,True
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,43.63,4602.965,3,True
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,39.13,4128.215,1,True
Original Fake,Sequential Art,31.45,3317.975,3,True
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,42.72,4506.96,1,True
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,45.17,4765.435,2,True
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,49.31,5202.205,1,True
Awkward,Sequential Art,38.02,4011.11,2,True
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,54.81,5782.455,1,True
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,11.75,1239.625,3,True
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,11.64,1228.02,5,True
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,18.51,1952.805,4,True
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,36.52,3852.86,2,True
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,54.12,5709.66,3,True
The Complete Maus (Maus #1-2),Sequential Art,10.64,1122.52,3,True
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,42.12,4443.66,3,True
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,28.48,3004.64,1,True
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,46.96,4954.28,5,True
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,21.71,2290.405,4,True
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,29.87,3151.2850000000003,3,True
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,39.39,4155.645,4,True
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,45.24,4772.820000000001,3,True
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,56.76,5988.179999999999,4,True
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,40.28,4249.54,5,True
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,34.65,3655.575,5,True
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,57.06,6019.83,4,True
